Line #,Word
176,ἔτι
176,μᾶλλον
176,ἐγειρέσθην
176,κοτέοντε
176,μάχεσθαι
177,ἀμφότεροι
177,χλοῦναί
177,τε
177,σύες
177,χαροποί
177,τε
177,λέοντες
178,Ἐν
178,δ'
178,ἦν
178,ὑσμίνη
178,Λαπιθάων
178,αἰχμητάων
179,Καινέα
179,τ'
179,ἀμφὶ
179,ἄνακτα
179,Δρύαντά
179,τε
179,Πειρίθοόν
179,τε
180,Ὁπλέα
180,τ'
180,Ἐξάδιόν
180,τε
180,Φάληρόν
180,τε
180,Πρόλοχόν
180,τε
181,Μόψον
181,τ'
181,Ἀμπυκίδην
181,Τιταρήσιον
181,ὄζον
181,Ἄρηος
182,Θησέα
182,τ'
182,Αἰγεΐδην
182,ἐπιείκελον
182,ἀθανάτοισιν
183,ἀργύρεοι
183,χρύσεια
183,περὶ
183,χροῒ
183,τεύχε'
183,ἔχοντες
184,Κένταυροι
184,δ'
184,ἑτέρωθεν
184,ἐναντίοι
184,ἠγερέθοντο
185,ἀμφὶ
185,μέγαν
185,Πετραῖον
185,ἰδ'
185,Ἄσβολον
185,οἰωνιστὴν
186,Ἄρκτον
186,τ'
186,Οὔρειόν
186,τε
186,μελαγχαίτην
186,τε
186,Μίμαντα
187,καὶ
187,δύο
187,Πευκεΐδας
187,Περιμήδεά
187,τε
187,Δρύαλόν
187,τε
188,ἀργύρεοι
188,χρυσέας
188,ἐλάτας
188,ἐν
188,χερσὶν
188,ἔχοντες
189,καί
189,τε
189,συναΐγδην
189,ὡς
189,εἰ
189,ζωοί
189,περ
189,ἐόντες
190,ἔγχεσιν
190,ἠδ'
190,ἐλάτῃς
190,αὐτοσχεδὸν
190,ὠριγνῶντο
191,Ἐν
191,δ'
191,Ἄρεος
191,βλοσυροῖο
191,ποδώκεες
191,ἕστασαν
191,ἵπποι
192,χρύσεοι
192,ἐν
192,δὲ
192,καὶ
192,αὐτὸς
192,ἐναρσφόρος
192,οὔλιος
192,Ἄρης
193,αἰχμὴν
193,ἐν
193,χείρεσσιν
193,ἔχων
193,πρυλέεσσι
193,κελεύων
194,αἵματι
194,φοινικόεις
194,ὡς
194,εἰ
194,ζωοὺς
194,ἐναρίζων
195,δίφρου
195,ἐπεμβεβαώς
195,παρὰ
195,δὲ
195,Δεῖμός
195,τε
195,Φόβος
195,τε
196,ἕστασαν
196,ἱέμενοι
196,πόλεμον
196,καταδύμεναι
196,ἀνδρῶν
197,Ἐν
197,δὲ
197,Διὸς
197,θυγάτηρ
197,ἀγελείη
197,Τριτογένεια
198,τῇ
198,ἰκέλη
198,ὡς
198,εἴ
198,τε
198,μάχην
198,ἐθέλουσα
198,κορύσσειν
199,ἔγχος
199,ἔχουσ'
199,ἐν
199,χειρὶ
199,†
199,χρυσέην
199,τε
199,τρυφάλειαν
200,αἰγίδα
200,τ'
200,ἀμφ'
200,ὤμοις
200,ἐπὶ
200,δ'
200,ᾤχετο
200,φύλοπιν
200,αἰνήν
201,Ἐν
201,δ'
201,ἦν
201,ἀθανάτων
201,ἱερὸς
201,χορός
201,ἐν
201,δ'
201,ἄρα
201,μέσσῳ
202,ἱμερόεν
202,κιθάριζε
202,Διὸς
202,καὶ
202,Λητοῦς
202,υἱὸς
203,χρυσείῃ
203,φόρμιγγι
203,θεῶν
203,δ'
203,ἕδος
203,ἁγνὸς
203,Ὄλυμπος
204,ἐν
204,δ'
204,ἀγορή
204,περὶ
204,δ'
204,ὄλβος
204,ἀπείριτος
204,ἐστεφάνωτο
205,ἀθανάτων
205,ἐν
205,ἀγῶνι
205,θεαὶ
205,δ'
205,ἐξῆρχον
205,ἀοιδῆς
206,Μοῦσαι
206,Πιερίδες
206,λιγὺ
206,μελπομένῃς
206,ἐικυῖαι
207,Ἐν
207,δὲ
207,λιμὴν
207,εὔορμος
207,ἀμαιμακέτοιο
207,θαλάσσης
208,κυκλοτερὴς
208,ἐτέτυκτο
208,πανέφθου
208,κασσιτέροιο
209,κλυζομένῳ
209,ἴκελος
209,πολλοί
209,γε
209,μὲν
209,ἂμ
209,μέσον
209,αὐτοῦ
210,δελφῖνες
210,τῇ
210,καὶ
210,τῇ
210,ἐθύνεον
210,ἰχθυάοντες
211,νηχομένοις
211,ἴκελοι
211,δοιὼ
211,δ'
211,ἀναφυσιόωντες
212,ἀργύρεοι
212,δελφῖνες
212,ἐφοίβεον
212,ἔλλοπας
212,ἰχθῦς
213,τῶν
213,δ'
213,ὕπο
213,χάλκειοι
213,τρέον
213,ἰχθύες
213,αὐτὰρ
213,ἐπ'
213,ἀκτῆς
214,ἧστο
214,ἀνὴρ
214,ἁλιεὺς
214,δεδοκημένος
214,εἶχε
214,δὲ
214,χερσὶν
215,ἰχθύσιν
215,ἀμφίβληστρον
215,ἀπορρίψοντι
215,ἐοικώς
216,Ἐν
216,δ'
216,ἦν
216,ἠυκόμου
216,Δανάης
216,τέκος
216,ἱππότα
216,Περσεύς
217,οὔτ'
217,ἄρ'
217,ἐπιψαύων
217,σάκεος
217,ποσὶν
217,οὔθ'
217,ἑκὰς
217,αὐτοῦ
218,θαῦμα
218,μέγα
218,φράσσασθ'
218,ἐπεὶ
218,οὐδαμῇ
218,ἐστήρικτο
219,τὼς
219,γάρ
219,μιν
219,παλάμαις
219,τεῦξεν
219,κλυτὸς
219,Ἀμφιγυήεις
220,χρύσεον
220,ἀμφὶ
220,δὲ
220,ποσσὶν
220,ἔχεν
220,πτερόεντα
220,πέδιλα
221,ὤμοισιν
221,δέ
221,μιν
221,ἀμφὶ
221,μελάνδετον
221,ἆορ
221,ἔκειτο
222,χαλκέου
222,ἐκ
222,τελαμῶνος
222,ὃ
222,δ'
222,ὥς
222,τε
222,νόημ'
222,ἐποτᾶτο
223,πᾶν
223,δὲ
223,μετάφρενον
223,εἶχε
223,κάρη
223,δεινοῖο
223,πελώρου
224,Γοργοῦς
224,ἀμφὶ
224,δέ
224,μιν
224,κίβισις
224,θέε
224,θαῦμα
224,ἰδέσθαι
225,ἀργυρέη
225,θύσανοι
225,δὲ
225,κατῃωρεῦντο
225,φαεινοὶ
226,χρύσειοι
226,δεινὴ
226,δὲ
226,περὶ
226,κροτάφοισι
226,ἄνακτος
227,κεῖτ'
227,Ἄιδος
227,κυνέη
227,νυκτὸς
227,ζόφον
227,αἰνὸν
227,ἔχουσα
228,αὐτὸς
228,δὲ
228,σπεύδοντι
228,καὶ
228,ἐρρίγοντι
228,ἐοικὼς
229,Περσεὺς
229,Δαναΐδης
229,ἐτιταίνετο
229,ταὶ
